Input1_Quantity,Input1_Name,Input1_ID,Input2_Quantity,Input2_Name,Input2_ID,Output_Quantity,Output_Name,Output_ID
2,Grove,C1,2,Grove,C1,1,Phanpyre,C4
2,Grove,C1,2,Mist,C2,1,Phanpyre,C4
2,Grove,C1,2,Flash,C3,1,Phanpyre,C4
2,Grove,C1,5,Phanpyre,C4,1,Phanflare,C7
2,Grove,C1,5,Cod,C5,1,Phanpyre,C4
2,Grove,C1,5,Phanflare,C7,1,Hideonleaf,C10
2,Grove,C1,5,Night Squid,C8,1,Phanpyre,C4
2,Grove,C1,5,Lapis Zombie,C9,1,Phanpyre,C4
2,Grove,C1,5,Hideonleaf,C10,1,Mudworm,C25
2,Grove,C1,5,Verdant,C11,1,Phanpyre,C4
2,Grove,C1,5,Chill,C12,1,Phanpyre,C4
2,Grove,C1,5,Sea Archer,C14,1,Phanpyre,C4
2,Grove,C1,5,Voracious Spider,C15,1,Phanpyre,C4
2,Grove,C1,5,Hideongift,C16,1,Mudworm,C25
2,Grove,C1,5,Birries,C17,1,Phanpyre,C4
2,Grove,C1,5,Tank Zombie,C18,1,Phanpyre,C4
2,Grove,C1,5,Crow,C19,1,Mudworm,C25
2,Grove,C1,2,Tadgang,C20,1,Phanpyre,C4
2,Grove,C1,5,Zealot,C21,1,Phanpyre,C4
2,Grove,C1,5,Coralot,C23,1,Phanpyre,C4
2,Grove,C1,5,Harpy,C24,1,Phanpyre,C4
2,Grove,C1,5,Golden Ghoul,C27,1,Phanpyre,C4
2,Grove,C1,5,Azure,C29,1,Phanpyre,C4
2,Grove,C1,5,Bezal,C30,1,Phanpyre,C4
2,Grove,C1,5,Yog,C33,1,Phanpyre,C4
2,Grove,C1,2,Newt,C35,1,Phanpyre,C4
2,Grove,C1,5,Miner Zombie,C36,1,Phanpyre,C4
2,Grove,C1,2,Bramble,U1,1,Pest,U10
2,Grove,C1,2,Tide,U2,1,Phanpyre,C4
2,Grove,C1,2,Quake,U3,1,Phanpyre,C4
2,Grove,C1,5,Sparrow,U4,1,Pest,U10
2,Grove,C1,5,Goldfin,U5,1,Phanpyre,C4
2,Grove,C1,5,Troglobyte,U6,1,Phanpyre,C4
