Input #1,Input #2,Output #1,Output #2,Output #3
2x Grove (C1),2x Grove (C1),1x Phanpyre (C4),,
2x Grove (C1),2x Mist (C2),1x Phanpyre (C4),1x Cod (C5),
2x Grove (C1),2x Flash (C3),1x Phanpyre (C4),1x Lapis Zombie (C9),
2x Grove (C1),5x Phanpyre (C4),1x Phanflare (C7),,
2x Grove (C1),5x Cod (C5),1x Phanpyre (C4),1x Night Squid (C8),
2x Grove (C1),5x Phanflare (C7),1x Hideonleaf (C10),,
2x Grove (C1),5x Night Squid (C8),1x Phanpyre (C4),1x Verdant (C11),
2x Grove (C1),5x Lapis Zombie (C9),1x Phanpyre (C4),1x Chill (C12),
2x Grove (C1),5x Hideonleaf (C10),1x Mudworm (C25),2x Hideongift (C16),
2x Grove (C1),5x Verdant (C11),1x Phanpyre (C4),1x Sea Archer (C14),
2x Grove (C1),5x Chill (C12),1x Phanpyre (C4),1x Voracious Spider (C15),
2x Grove (C1),5x Sea Archer (C14),1x Phanpyre (C4),1x Birries (C17),
2x Grove (C1),5x Voracious Spider (C15),1x Phanpyre (C4),1x Tank Zombie (C18),
2x Grove (C1),5x Hideongift (C16),1x Mudworm (C25),,
2x Grove (C1),5x Birries (C17),1x Phanpyre (C4),1x Tadgang (C20),
2x Grove (C1),5x Tank Zombie (C18),1x Phanpyre (C4),1x Zealot (C21),
2x Grove (C1),5x Crow (C19),1x Mudworm (C25),2x Boreal Owl (C34),
2x Grove (C1),2x Tadgang (C20),1x Phanpyre (C4),1x Coralot (C23),2x Mossybit (U11)
2x Grove (C1),5x Zealot (C21),1x Phanpyre (C4),1x Golden Ghoul (C27),
2x Grove (C1),5x Coralot (C23),1x Phanpyre (C4),,
2x Grove (C1),5x Harpy (C24),1x Phanpyre (C4),1x Golden Ghoul (C27),2x Boreal Owl (C34)
2x Grove (C1),5x Golden Ghoul (C27),1x Phanpyre (C4),1x Azure (C29),
2x Grove (C1),5x Azure (C29),1x Phanpyre (C4),1x Bezal (C30),
2x Grove (C1),5x Bezal (C30),1x Phanpyre (C4),1x Yog (C33),
2x Grove (C1),5x Yog (C33),1x Phanpyre (C4),1x Miner Zombie (C36),
2x Grove (C1),2x Newt (C35),1x Phanpyre (C4),,
2x Grove (C1),5x Miner Zombie (C36),1x Phanpyre (C4),,
2x Grove (C1),2x Bramble (U1),1x Pest (U10),,
2x Grove (C1),2x Tide (U2),1x Phanpyre (C4),1x Mossybit (U11),
2x Grove (C1),2x Quake (U3),1x Phanpyre (C4),1x Rain Slime (U12),
2x Grove (C1),5x Sparrow (U4),1x Pest (U10),2x Boreal Owl (C34),
2x Grove (C1),5x Goldfin (U5),1x Phanpyre (C4),1x Mossybit (U11),
2x Grove (C1),5x Troglobyte (U6),1x Phanpyre (C4),1x Rain Slime (U12),2x Quartzfang (R33)
2x Grove (C1),5x Hideoncave (U7),1x Pest (U10),2x Hideongift (C16),
2x Grove (C1),2x Salamander (U8),1x Phanpyre (C4),1x Mossybit (U11),
2x Grove (C1),2x Cuboa (U9),1x Phanpyre (C4),1x Rain Slime (U12),
2x Grove (C1),5x Pest (U10),1x Bambuleaf (U25),,
2x Grove (C1),2x Mossybit (U11),1x Phanpyre (C4),1x Salmon (U20),
2x Grove (C1),5x Rain Slime (U12),1x Phanpyre (C4),1x Seer (U15),
2x Grove (C1),5x Seer (U15),1x Phanpyre (C4),1x Obsidian Defender (U18),
2x Grove (C1),5x Heron (U16),1x Bambuleaf (U25),2x Boreal Owl (C34),
2x Grove (C1),5x Obsidian Defender (U18),1x Phanpyre (C4),1x Zombie Soldier (U24),
2x Grove (C1),5x Salmon (U20),1x Phanpyre (C4),1x Ent (U29),
2x Grove (C1),2x Viper (U21),1x Phanpyre (C4),1x Zombie Soldier (U24),
2x Grove (C1),5x Praying Mantis (U22),1x Bambuleaf (U25),,
2x Grove (C1),5x Zombie Soldier (U24),1x Phanpyre (C4),1x Sycophant (U27),
2x Grove (C1),5x Bambuleaf (U25),1x Mochibear (U31),,
2x Grove (C1),5x Sycophant (U27),1x Phanpyre (C4),1x Soul of the Alpha (U30),
2x Grove (C1),5x Seagull (U28),1x Mochibear (U31),2x Boreal Owl (C34),
2x Grove (C1),5x Ent (U29),1x Phanpyre (C4),1x Magma Slug (U32),
2x Grove (C1),5x Soul of the Alpha (U30),1x Phanpyre (C4),1x Flaming Spider (U33),
2x Grove (C1),5x Magma Slug (U32),1x Phanpyre (C4),1x Stridersurfer (U38),
2x Grove (C1),5x Flaming Spider (U33),1x Phanpyre (C4),1x Bruiser (U36),
2x Grove (C1),5x Kiwi (U34),2x Boreal Owl (C34),,
2x Grove (C1),5x Bruiser (U36),1x Phanpyre (C4),,
2x Grove (C1),5x Stridersurfer (U38),1x Phanpyre (C4),,
2x Grove (C1),2x Rana (U39),1x Phanpyre (C4),,
2x Grove (C1),5x Termite (U40),2x Cropeetle (R16),,
2x Grove (C1),2x Sylvan (R1),1x Beaconmite (R7),,
2x Grove (C1),2x Cascade (R2),1x Phanpyre (C4),1x Piranha (R11),
2x Grove (C1),2x Bolt (R3),1x Phanpyre (C4),1x Glacite Walker (R6),
2x Grove (C1),5x Bambloom (R4),1x Beaconmite (R7),,
2x Grove (C1),2x Toad (R5),1x Phanpyre (C4),1x Piranha (R11),
2x Grove (C1),5x Glacite Walker (R6),1x Phanpyre (C4),1x Drowned (R18),
2x Grove (C1),5x Beaconmite (R7),1x Invisibug (R10),,
